Subject Number       Block Number         Trials per Block     Accuracy             Best Model by BIC    BIC Score            Best Model by NLL    NLL Score           
219                  6                    100                  0.1300000000         Biased Guessing      73.9082375697        Biased Guessing      34.6515336919       
220                  1                    100                  0.7800000000         Unidimensional X     102.5917749155       Equal GLC            46.6588824710       
220                  2                    100                  0.8900000000         Equal GLC            85.8396765355        Equal GLC            36.0120829888       
220                  3                    100                  0.5900000000         Unidimensional X     122.8295918285       Equal GLC            56.8080876205       
220                  4                    100                  0.4900000000         Guessing             138.6294361120       Biased Guessing      69.2947167224       
220                  5                    100                  0.5300000000         Biased Guessing      136.3963063226       Biased Guessing      65.8955680683       
220                  6                    100                  0.5700000000         Biased Guessing      136.3963063226       Biased Guessing      65.8955680683       
221                  1                    100                  0.8300000000         Equal GLC            103.6602930048       Equal GLC            44.9223912234       
221                  2                    100                  0.8800000000         Unidimensional Y     65.8254512780        Equal GLC            28.0844411912       
221                  3                    100                  0.7400000000         Equal GLC            123.4603395415       Equal GLC            54.8224144918       
221                  4                    100                  0.9300000000         Unidimensional X     33.7868676827        Unidimensional X     12.2882636554       
221                  5                    100                  0.6800000000         Equal GLC            131.9513732195       Equal GLC            59.0679313307       
221                  6                    100                  0.7000000000         Equal GLC            124.3139569591       Equal GLC            55.2492232006       
222                  1                    100                  0.7000000000         Equal GLC            126.4476512949       Equal GLC            56.3160703684       
222                  2                    100                  0.7400000000         Equal GLC            108.9997253040       Equal GLC            47.5921073730       
222                  3                    100                  0.9300000000         Equal GLC            50.1339553119        Equal GLC            18.1592223769       
222                  4                    100                  0.8500000000         Unidimensional X     78.8568419062        Equal GLC            33.9824296267       
222                  5                    100                  0.5800000000         Guessing             138.6294361120       Equal GLC            67.5989029064       
222                  6                    100                  0.7300000000         Unidimensional X     113.1653004055       Equal GLC            50.0702757312       
223                  1                    100                  0.8900000000         Unidimensional Y     65.7329851255        Equal GLC            27.7184195188       
223                  2                    100                  0.8400000000         Unidimensional Y     51.7579728891        Equal GLC            20.8521464142       
223                  3                    100                  0.6500000000         Unidimensional Y     114.1014445214       Equal GLC            52.1123459385       
223                  4                    100                  0.6500000000         Unidimensional Y     59.5744225716        Equal GLC            25.1709457362       
223                  5                    100                  0.6700000000         Unidimensional Y     107.1641694841       Equal GLC            48.3311076232       
223                  6                    100                  0.6500000000         Unidimensional Y     130.5111694206       Equal GLC            59.7962847782       
230                  1                    100                  0.8200000000         Equal GLC            94.6231900236        Equal GLC            40.4038397328       
230                  2                    100                  0.8100000000         Equal GLC            89.5200535360        Equal GLC            37.8522714890       
230                  3                    100                  0.9600000000         Unidimensional X     53.6959775314        Equal GLC            20.5513516759       
230                  4                    100                  0.9600000000         Unidimensional X     35.1893754445        Unidimensional X     12.9895175363       
230                  5                    100                  0.8000000000         Equal GLC            95.9208133527        Equal GLC            41.0526513973       
230                  6                    100                  0.7400000000         Unidimensional X     97.0304778876        Equal GLC            42.7656216268       
231                  1                    100                  0.6000000000         Unidimensional X     96.1273494973        Equal GLC            41.1747335360       
231                  2                    100                  0.6400000000         Equal GLC            80.9651922906        Equal GLC            33.5748408663       
231                  3                    100                  0.9800000000         Unidimensional X     19.8325910078        Equal GLC            4.4606441299        
231                  4                    100                  0.9900000000         Unidimensional X     22.6932531880        Unidimensional X     6.7414564080        
231                  5                    100                  0.7600000000         Unidimensional X     108.7690691940       Equal GLC            47.6799894958       
231                  6                    100                  0.6800000000         Unidimensional X     103.7710021860       Equal GLC            46.5990820783       
233                  1                    100                  0.7800000000         Equal GLC            113.7444762857       Equal GLC            49.9644828639       
233                  2                    100                  0.9100000000         Unidimensional Y     59.5465300517        Equal GLC            24.9838732288       
233                  3                    100                  0.5500000000         Unidimensional Y     75.1596982438        Equal GLC            32.0561071028       
233                  4                    100                  0.5500000000         Unidimensional Y     67.2738275020        Equal GLC            29.0301746261       
233                  5                    100                  0.6200000000         Equal GLC            51.2069147346        Equal GLC            18.6957020883       
233                  6                    100                  0.6000000000         Unidimensional Y     83.9316498805        Equal GLC            35.8781263892       
305                  1                    100                  0.7700000000         Equal GLC            96.8651265985        Equal GLC            41.5248080203       
305                  2                    100                  0.9300000000         Unidimensional Y     50.6226315441        Equal GLC            18.7212342189       
305                  3                    100                  0.8800000000         Equal GLC            64.8621967159        Equal GLC            25.5233430790       
305                  4                    100                  0.9300000000         Unidimensional X     40.4729839437        Equal GLC            15.4747976249       
305                  5                    100                  0.7700000000         Equal GLC            97.5414054193        Equal GLC            41.8629474307       
