Subject Number       Block Number         Trials per Block     Accuracy             Best Model by BIC    BIC Score            Best Model by NLL    NLL Score           
101                  5                    100                  0.9500000000         Unidimensional Y     20.1988846980        Equal GLC            5.3602290183        
101                  6                    100                  0.9400000000         Unidimensional Y     47.3174334194        Equal GLC            18.8356373049       
101                  7                    100                  0.7900000000         Equal GLC            84.2977023533        Equal GLC            35.2410958976       
101                  8                    100                  0.7600000000         Unidimensional Y     61.1856715796        Equal GLC            25.3846914847       
103                  1                    100                  0.8000000000         Unidimensional Y     102.3466053290       Equal GLC            46.5494612148       
103                  2                    100                  0.7000000000         Equal GLC            120.3741199526       Equal GLC            53.2793046973       
103                  3                    100                  0.9000000000         Unidimensional Y     68.9399249781        Equal GLC            29.8335021989       
103                  4                    100                  0.9000000000         Unidimensional X     65.3514842531        Equal GLC            27.0311986989       
103                  5                    100                  0.9400000000         Unidimensional X     51.7068871503        Unidimensional X     21.2482733892       
103                  6                    100                  0.9300000000         Unidimensional X     56.3304833927        Unidimensional X     23.5600715104       
103                  7                    100                  0.6900000000         Equal GLC            127.9502857977       Equal GLC            57.0673876199       
103                  8                    100                  0.5400000000         Guessing             138.6294361120       Biased Guessing      68.0292000192       
105                  1                    100                  0.7300000000         Equal GLC            112.3438962966       Equal GLC            49.2641928693       
105                  2                    100                  0.7600000000         Unidimensional Y     106.0918479911       Equal GLC            47.5809289482       
105                  3                    100                  0.9000000000         Equal GLC            70.5556741643        Equal GLC            28.3700818032       
105                  4                    100                  0.9300000000         Equal GLC            63.2342683000        Equal GLC            24.7093788710       
105                  5                    100                  0.9400000000         Unidimensional X     38.7536216957        Unidimensional X     14.7716406619       
105                  6                    100                  0.8800000000         Equal GLC            83.3924962034        Equal GLC            34.7884928227       
105                  7                    100                  0.8200000000         Equal GLC            109.8622542858       Equal GLC            48.0233718639       
105                  8                    100                  0.8200000000         Equal GLC            107.0601281668       Equal GLC            46.6223088044       
107                  1                    100                  0.9300000000         Unidimensional X     29.4375555793        Unidimensional X     10.1136076037       
107                  2                    100                  0.9100000000         Unidimensional X     58.6713810260        Unidimensional X     24.7305203270       
107                  3                    100                  0.9200000000         Unidimensional X     51.6943717353        Equal GLC            19.9982799715       
107                  4                    100                  0.9400000000         Equal GLC            48.0934935549        Equal GLC            17.1389914985       
107                  5                    100                  0.8400000000         Equal GLC            102.1194657477       Equal GLC            44.1519775949       
107                  6                    100                  0.8500000000         Equal GLC            93.3700160860        Equal GLC            39.7772527640       
107                  7                    100                  0.7300000000         Unidimensional Y     111.6020637877       Equal GLC            50.0500538547       
107                  8                    100                  0.7500000000         Equal GLC            117.5910273398       Equal GLC            51.8877583909       
5                    1                    100                  0.8900000000         Unidimensional Y     58.1806722365        Equal GLC            22.4151195172       
5                    2                    100                  0.9300000000         Unidimensional Y     48.2657976165        Equal GLC            19.4654848400       
5                    3                    100                  0.7000000000         Unidimensional Y     107.4045265015       Equal GLC            49.0780710044       
5                    4                    100                  0.6400000000         Unidimensional Y     74.9666724407        Equal GLC            32.5103916616       
5                    5                    100                  0.7100000000         Unidimensional Y     82.2283300455        Equal GLC            36.4437043463       
5                    6                    100                  0.5000000000         Guessing             138.6294361120       Biased Guessing      69.2346967090       
5                    7                    100                  0.7000000000         Unidimensional Y     95.2039830626        Equal GLC            41.8678700892       
5                    8                    100                  0.6200000000         Equal GLC            99.9349302526        Equal GLC            43.0597098473       
7                    1                    100                  0.9100000000         Unidimensional X     54.7510296580        Equal GLC            22.5072370059       
7                    2                    100                  0.9400000000         Unidimensional X     38.9472198619        Unidimensional X     14.8684397449       
7                    3                    100                  0.9600000000         Unidimensional X     36.3812457981        Equal GLC            13.2461426239       
7                    4                    100                  0.9400000000         Unidimensional Y     49.1187548342        Equal GLC            17.7204961369       
7                    5                    100                  0.9200000000         Unidimensional Y     39.5008497291        Equal GLC            15.0128621275       
7                    6                    100                  0.9500000000         Unidimensional Y     31.3590961774        Equal GLC            11.0013207781       
7                    7                    100                  0.7100000000         Equal GLC            105.3692240879       Equal GLC            45.7768567650       
7                    8                    100                  0.7400000000         Equal GLC            89.9032887668        Equal GLC            38.0438891044       
8                    1                    100                  0.8600000000         Unidimensional Y     84.6194398245        Equal GLC            37.5707269706       
